country,continent,life_expectancy,population,gdp,gdp_per_capita
Afghanistan,Asia,54.863,22856302,15153728226,663.0
Albania,Europe,74.2,3071856,12886435920,4195.0
Algeria,Africa,68.96300000000001,30533827,155661450046,5098.0
Angola,Africa,45.234,13926373,34063908358,2446.0
Antigua and Barbuda,N. America,73.544,77656,989182128,12738.0
Argentina,S. America,73.822,36930709,390394524839,10571.0
Armenia,Europe,71.494,3076098,6502871172,2114.0
Australia,Oceania,79.93,19164351,560384787591,29241.0
Austria,Europe,78.33,8004712,256214821696,32008.0
Azerbaijan,Europe,66.851,8110723,20544461359,2533.0
Bahamas,N. America,72.37,297651,6765011928,22728.0
Bahrain,Asia,74.497,638193,14049818895,22015.0
Bangladesh,Asia,65.309,129592275,139311695625,1075.0
Barbados,N. America,73.118,267511,4007849802,14982.0
Belarus,Europe,68.99,10057810,59703160160,5936.0
Belgium,Europe,77.91,10175684,304659978960,29940.0
Belize,N. America,70.425,250512,1639601040,6545.0
Benin,Africa,55.261,6517810,8518777670,1307.0
Bhutan,Asia,60.307,571262,1669227564,2922.0
Bolivia,S. America,62.994,8307248,28194799712,3394.0
Bosnia and Herzegovina,Europe,74.882,3693698,21175970634,5733.0
Botswana,Africa,50.567,1757925,17767347975,10107.0
Brazil,S. America,70.26100000000001,174425387,1405170917672,8056.0
Brunei,Asia,75.92699999999998,327036,15704268720,48020.0
Bulgaria,Europe,71.59,8006158,55298533306,6907.0
Burkina Faso,Africa,50.589,12294012,12306306012,1001.0
Burundi,Africa,48.25100000000001,6374347,2823835721,443.0
Cambodia,Asia,62.03,12446949,12222903918,982.0
Cameroon,Africa,51.96,15678269,28267919007,1803.0
Canada,N. America,79.41,30667365,995094659520,32448.0
Cape Verde,Africa,69.835,437238,1001712258,2291.0
Central African Rep.,Africa,43.727,3701607,2820624534,762.0
Chad,Africa,46.708,8222327,8362106559,1017.0
Chile,S. America,77.01,15419820,160905821700,10435.0
China,Asia,72.124,1269116737,4323880722959,3407.0
Colombia,S. America,71.02600000000002,39764166,228604190334,5749.0
Comoros,Africa,57.9,562469,613091210,1090.0
"Congo, Dem. Rep.",Africa,46.387,49626200,14490850400,292.0
"Congo, Rep.",Africa,52.326,3135773,10733750979,3423.0
Costa Rica,N. America,77.721,3919180,30067948960,7672.0
Cote d'Ivoire,Africa,46.429,16581653,28951566138,1746.0
Croatia,Europe,74.798,4505533,47677550206,10582.0
Cuba,N. America,76.684,11104313,67902873995,6115.0
Cyprus,Europe,78.01100000000002,943294,21526912374,22821.0
Czech Rep.,Europe,75.05,10242890,172316138470,16823.0
Denmark,Europe,76.9,5339501,169822829305,31805.0
Djibouti,Africa,57.023,731930,1386275420,1894.0
Dominican Rep.,N. America,70.553,8591967,37375056450,4350.0
Ecuador,S. America,73.35300000000002,12345023,69329649168,5616.0
Egypt,Africa,68.632,67648419,313144531551,4629.0
El Salvador,N. America,69.715,5940305,31727169005,5341.0
Equatorial Guinea,Africa,47.723,520380,2726791200,5240.0
Eritrea,Africa,56.131,3667576,2717673816,741.0
Estonia,Europe,70.8,1370749,15412701756,11244.0
Ethiopia,Africa,52.245,65577897,33575883264,512.0
Fiji,Oceania,67.553,811718,3129984608,3856.0
Finland,Europe,77.76,5173370,140565636270,27171.0
France,Europe,79.23,59047795,1690892657620,28636.0
Gabon,Africa,59.744,1235274,15767037336,12764.0
Gambia,Africa,55.115,1297084,891096708,687.0
Georgia,Europe,71.839,4745765,11067123980,2332.0
Germany,Europe,78.14127463,82349027,2447907176602,29726.0
Ghana,Africa,56.996,19165490,20449577830,1067.0
Greece,Europe,78.535,10986883,227153806025,20675.0
Greenland,N. America,67.03,56196,1865931984,33204.0
Grenada,N. America,70.34100000000001,101522,878672910,8655.0
Guatemala,N. America,67.768,11237101,54882001284,4884.0
Guinea,Africa,51.257,8344486,7560104316,906.0
Guinea-Bissau,Africa,51.468,1240655,784093960,632.0
Guyana,S. America,63.29,733101,2302670241,3141.0
Haiti,N. America,57.46,8645371,11619378624,1344.0
Honduras,N. America,70.482,6218151,19232741043,3093.0
"Hong Kong, China",Asia,80.361,6783317,203309577124,29972.0
Hungary,Europe,71.86,10210545,138781727640,13592.0
Iceland,Europe,79.72,281210,8743381320,31092.0
India,Asia,62.129,1053898107,1736824080336,1648.0
Indonesia,Asia,67.289,213395411,579155145454,2714.0
Iran,Asia,69.611,65342319,561943943400,8600.0
Iraq,Asia,70.845,23857458,94260816558,3951.0
Ireland,Europe,76.66,3803780,117259126060,30827.0
Israel,Asia,78.75,6014953,137345436802,22834.0
Italy,Europe,79.73,56986329,1547748695640,27160.0
Jamaica,N. America,70.479,2581648,17901147232,6934.0
Japan,Asia,81.35,125720310,3590446333290,28559.0
Jordan,Asia,71.72399999999998,4827096,17686479744,3664.0
Kazakhstan,Asia,63.51300000000001,14956694,80257620004,5366.0
Kenya,Africa,52.864,31253701,41192377918,1318.0
Kiribati,Oceania,64.642,84010,294119010,3501.0
"Korea, Dem. Rep.",Asia,65.271,22894095,38668126455,1689.0
"Korea, Rep.",Asia,76.11399999999998,45987624,781559669880,16995.0
Kuwait,Asia,73.133,1940786,70638788042,36397.0
Kyrgyzstan,Asia,66.232,4954850,7566055950,1527.0
Laos,Asia,61.68899999999999,5317060,8071297080,1518.0
Latvia,Europe,70.16,2384972,20627622828,8649.0
Lebanon,Asia,74.40899999999998,3742329,21686796555,5795.0
Lesotho,Africa,47.265,1963878,2329159308,1186.0
Liberia,Africa,52.424,2847290,1477743510,519.0
Libya,Africa,71.872,5231189,47807836271,9139.0
Lithuania,Europe,72.18,3500028,33708769668,9631.0
Luxembourg,Europe,77.82,435491,27838326684,63924.0
"Macao, China",Asia,77.627,431867,9722189904,22512.0
"Macedonia, FYR",Europe,73.244,2009091,14013409725,6975.0
Madagascar,Africa,58.485,15364272,15779107344,1027.0
Malawi,Africa,46.04,11228756,8006103028,713.0
Malaysia,Asia,72.81,23414909,237918890349,10161.0
Maldives,Asia,69.279,273236,938019188,3433.0
Mali,Africa,49.06100000000001,11295324,9646206696,854.0
Malta,Europe,77.36399999999998,397420,8058087920,20276.0
Mauritania,Africa,59.729,2642743,4069824220,1540.0
Mauritius,Africa,71.202,1196027,9915063830,8290.0
Mexico,N. America,74.38,99959594,1088959817036,10894.0
"Micronesia, Fed. Sts.",Oceania,67.3,107103,592279590,5530.0
Moldova,Europe,67.007,4106736,6948597312,1692.0
Mongolia,Asia,62.87600000000001,2411369,4863731273,2017.0
Montenegro,Europe,74.125,632606,3912668110,6185.0
Morocco,Africa,68.22,28793236,88481614228,3073.0
Mozambique,Africa,47.472,18200656,9864755552,542.0
Myanmar,Asia,62.073,44957660,46486220440,1034.0
Namibia,Africa,55.173,1895839,7625064458,4022.0
Nepal,Asia,62.055,24400606,25718238724,1054.0
Netherlands,Europe,78.24,15862825,523473225000,33000.0
New Zealand,Oceania,78.9,3858032,84471610640,21895.0
Nicaragua,N. America,69.682,5073704,12633522960,2490.0
Niger,Africa,50.692,10922421,6302236917,577.0
Nigeria,Africa,46.629,123688536,200251739784,1619.0
Norway,Europe,78.76,4490859,193888346466,43174.0
Oman,Asia,72.139,2264163,43480986252,19204.0
Pakistan,Asia,63.854,144522192,301473292512,2086.0
Panama,N. America,75.094,2956126,21890113030,7405.0
Papua New Guinea,Oceania,58.749,5378824,9794838504,1821.0
Paraguay,S. America,70.07300000000001,5343539,20877206873,3907.0
Peru,S. America,70.506,25861887,149766187617,5791.0
Philippines,Asia,66.774,77309965,200851289070,2598.0
Poland,Europe,73.91,38302444,447372545920,11680.0
Portugal,Europe,76.84,10336209,202682722281,19609.0
Qatar,Asia,76.68,590957,35690257058,60394.0
Romania,Europe,70.47,22191683,157316840787,7089.0
Russia,Asia,65.38,146757517,1257711920690,8570.0
Rwanda,Africa,47.6425,8098344,5701234176,704.0
Saint Lucia,N. America,71.456,157108,1363069008,8676.0
Saint Vincent and the Grenadines,N. America,70.6,107891,635801663,5893.0
Samoa,Oceania,69.344,176549,722085410,4090.0
Sao Tome and Principe,Africa,63.33600000000001,141010,186133200,1320.0
Saudi Arabia,Asia,72.40100000000002,20045276,400925565276,20001.0
Senegal,Africa,57.817,9505862,14363357482,1511.0
Serbia,Europe,72.072,10133561,66952437527,6607.0
Seychelles,Africa,71.771,78685,1198372550,15230.0
Sierra Leone,Africa,38.12300000000001,4143115,2141990455,517.0
Singapore,Asia,78.34,3919300,144363496200,36834.0
Slovak Republic,Europe,73.19,5404845,68582078205,12689.0
Slovenia,Europe,76.11,1985406,38514890994,19399.0
Solomon Islands,Oceania,62.808,408732,736535064,1802.0
Somalia,Africa,50.902,7399033,6518548073,881.0
South Africa,Africa,55.892,44760380,333643872520,7454.0
South Sudan,Africa,49.24800000000001,6994624,13170876992,1883.0
Spain,Europe,79.34,40288457,943152778370,23410.0
Sri Lanka,Asia,71.078,18745084,56179016748,2997.0
Sudan,Africa,57.979,27193105,50959878770,1874.0
Suriname,S. America,67.851,466846,2650284742,5677.0
Swaziland,Africa,48.68899999999999,1063832,4277668472,4021.0
Sweden,Europe,79.84,8860153,253754781920,28640.0
Switzerland,Europe,79.99,7167908,246475684488,34386.0
Syria,Asia,73.316,15988534,62914881290,3935.0
Taiwan,Asia,76.02,22183000,521855075000,23525.0
Tajikistan,Asia,63.57,6172807,6178979807,1001.0
Tanzania,Africa,50.01,34038161,28115520986,826.0
Thailand,Asia,70.921,63155029,352278751762,5578.0
Timor-Leste,Asia,59.468,830089,2276934127,2743.0
Togo,Africa,53.585,4793504,4266218560,890.0
Tonga,Oceania,70.81,97935,478510410,4886.0
Trinidad and Tobago,N. America,68.533,1292058,13561440768,10496.0
Tunisia,Africa,73.15899999999998,9456117,51819521160,5480.0
Turkey,Asia,70.01,63627862,432860345186,6803.0
Turkmenistan,Asia,63.925,4501419,14805167091,3289.0
Uganda,Africa,48.12600000000001,24213120,21331758720,881.0
Ukraine,Europe,67.79,48891792,180899630400,3700.0
United Arab Emirates,Asia,74.163,3033491,91041131892,30012.0
United Kingdom,Europe,78.04,58874117,1686390207348,28644.0
United States,N. America,76.8,282496310,11231488292980,39758.0
Uruguay,S. America,74.777,3319066,30176948072,9092.0
Uzbekistan,Asia,66.999,24775610,40508122350,1635.0
Vanuatu,Oceania,67.438,185074,696248388,3762.0
Venezuela,S. America,72.432,24348304,229701899936,9434.0
Vietnam,Asia,73.777,78758010,124201381770,1577.0
West Bank and Gaza,Asia,70.929,3198560,24264276160,7586.0
"Yemen, Rep.",Asia,60.404,17723186,39292303362,2217.0
Zambia,Africa,41.802,10201562,10558616670,1035.0
Zimbabwe,Africa,43.976000000000006,12509477,9319560365,745.0
